id,ability,effect
101,アイスボディ,ゆき状態 の時、ターン終わりに最大HPの1/16回復する。
102,あくしゅう,技でダメージを与えた時10%の確率で相手をひるませる。
103,あついしぼう,ほのおタイプ こおりタイプの技で受けるダメージが半減する。
104,あとだし,同じ優先度の技の中で最後に行動する。
105,アナライズ,ターンの最後に技を出すと技の威力が1.3倍になる。
106,あまのじゃく,能力の変化が逆転し、上がる時には下がり、下がる時には上がる。
107,あめうけざら,あめ状態 の時、ターン終わりに最大HPの1/16回復する。
108,あめふらし,登場した時から5ターンの間、 あめ状態 にする。
109,アロマベール,自分と味方は、 メロメロ状態 、 ちょうはつ状態 、 連続不可状態 、 わざふうじ状態 、 かいふくふうじ状態 、 アンコール状態 にならない。
110,いかく,登場した時、相手の攻撃を1段階下げる。
111,いかりのつぼ,相手の攻撃が急所に当たると、自分の攻撃が6段階目まで上がる。
112,いしあたま,自分もダメージを受ける技を出してもHPが減らない。
113,いたずらごころ,変化技の優先度が1段階上がる。あくタイプの相手への変化技が無効になる。
114,いやしのこころ,ターン終わりに、 状態異常 の味方を50%の確率で治す。
115,イリュージョン,手持ちの1番後ろのポケモンの姿で現れる。技のダメージを受けると元に戻る。
116,うなぎのぼり,地面にいないことになり、じめんタイプの技・ まきびし状態 ・ どくびし状態 ・ ねばねばネット状態 が効かない。攻撃で相手を倒すと自分の最も高い能力が1段階上がる。
117,うるおいボイス,音の技がみずタイプになる。
118,うるおいボディ,あめ状態 の時、ターン終わりに 状態異常 が治る。
119,エレキメイカー,登場した時から5ターンの間、全体の場を エレキフィールド状態 にする。
120,えんかく,使う技が接触技ではなくなる。
121,おうごんのからだ,相手からの変化技が効かない。
122,おみとおし,登場した時、相手が持っている道具を知ることができる。
123,おもてなし,登場した時、味方のHPをその味方の最大HPの1/4回復する。
124,おやこあい,攻撃技が2回の連続攻撃になる。2回目の攻撃は0.25倍の威力になるが、技の効果は2回分発動する。元から連続攻撃の技や、ダブルバトルで攻撃が2体以上に当たるときは発動しない。
125,かいりきバサミ,相手の技や特性で攻撃を下げられない。
126,かげふみ,ゴーストタイプ以外の相手が交代できなくなる。
127,かそく,ターン終わりに素早さが1段階上がる。
128,かたいツメ,接触技の威力が1.3倍になる。
129,かたやぶり,相手の特性に関係なく技を出すことができる。例外となる特性もある。
130,かちき,相手に能力を下げられると特攻が2段階上がる。
131,カブトアーマー,相手の攻撃が急所に当たらない。
132,かるわざ,持っていた道具がなくなると素早さが2倍になる。
133,かわりもの,目の前のポケモンに変身する。HP以外のステータスも同じになる。
134,がんじょう,HPが満タンの時、一撃でひんしになる技のダメージを受けると、HPを1残して耐える。一撃必殺も効かない。
135,がんじょうあご,噛む技の威力が1.5倍になる。
136,かんそうはだ,みずタイプの技が効かず、最大HPの1/4回復する。ほのおタイプの技の受けるダメージが1.25倍になる。 あめ状態 の時、ターン終わりに最大HPの1/8回復するが、 にほんばれ状態 の時、ターン終わりに最大HPの1/8減る。
137,かんつうドリル,接触技を使う時、相手の守りの効果を無視して本来の1/4のダメージを与える。相手の守りの効果以外は発動される。
138,かんろなミツ,登場した時、相手の回避率を1段階下げる。1回の戦闘で1度しか発動しない。
139,きけんよち,登場した時、相手が自分への効果バツグンや一撃必殺の技を持っていると、そのことを察知できる。
140,ぎたい,フィールドによって自分のタイプが変わる。場が エレキフィールド状態 だとでんきタイプ、 グラスフィールド状態 だとくさタイプ、 サイコフィールド状態 だとエスパータイプ、 ミストフィールド状態 だとフェアリータイプになる。
141,きみょうなくすり,登場した時に、味方の能力変化を元に戻す。
142,きもったま,ノーマルタイプかくとうタイプの技をゴーストタイプに当てることができる。いかくも効かない。
143,ぎゃくじょう,相手の攻撃でHPが1/2以下になると特攻が1段階上がる。
144,きゅうばん,相手の入れ替えさせる技や道具が効かない。
145,きょううん,きゅうしょアップ +1になる。
146,きょうせい,味方が道具を消費すると自分の持っている道具を味方に渡す。
147,きよめのしお,状態異常 にならない。ゴーストタイプの技で受けるダメージが半減する。
148,きれあじ,切る技の威力が1.5倍になる。
149,きんちょうかん,相手のきのみを食べられなくさせる。
150,くいしんぼう,HPが1/4以下の時に食べるきのみをHPが1/2以下の時に食べてしまう。
151,クイックドロウ,30%の確率で同じ優先度の技の中で最初に行動する。
152,くだけるよろい,物理技でダメージを受けると防御が1段階下がり素早さが2段階上がる。
153,クリアボディ,相手の技や特性で能力ランクが下がらない。
154,げきりゅう,HPが最大HPの1/3以下になるとみずタイプの技の威力が1.5倍になる。
155,こんじょう,状態異常 の時、攻撃が1.5倍になる。 やけど状態 による物理技のダメージが半減される効果は無視する。
156,サーフテール,エレキフィールド状態 の時、素早さが2倍になる。
157,さいせいりょく,手持ちに戻ると最大HPの1/3回復する。
158,さまようたましい,接触技を受けると相手と特性を入れ替える。
159,さめはだ,接触技を受けると、相手の最大HPの1/8のダメージを与える。
160,サンパワー,にほんばれ状態 だと特攻が1.5倍になるが毎ターン最大HPの1/8減る。
161,シェルアーマー,相手の攻撃が急所に当たらない。
162,じきゅうりょく,技のダメージを受けると防御が1段階上がる。
163,じしんかじょう,攻撃で相手を倒すと攻撃が1段階上がる。
164,しぜんかいふく,手持ちに戻ると 状態異常 が治る。
165,しめりけ,全員爆発の技が使用できず、爆発する特性も発動しない。
166,しゅうかく,使ったきのみをターン終わりに50％の確率で作り出す。 にほんばれ状態 の時は必ず作り出す。
167,じゅうなん,まひ状態 にならない。
168,じゅくせい,食べるきのみの効果が2倍になる。
169,じょおうのいげん,自分と味方に対し、相手は先制技を使えない。
170,しろいけむり,相手の技や特性で能力ランクが下がらない。
171,シンクロ,相手の技や特性によって どく状態 ・ もうどく状態 ・ まひ状態 ・ やけど状態 になると相手も同じ状態にする。
172,しんりょく,HPが最大HPの1/3以下になると、くさタイプの技の威力が1.5倍になる。
173,スイートベール,自分と味方は、 ねむり状態 ・ ねむけ状態 にならない。
174,すいすい,あめ状態 の時、素早さが2倍になる。
175,すいほう,ほのおタイプの技で受けるダメージが半減する。みずタイプの技の威力が2倍になる。 やけど状態 にならない。
176,スカイスキン,ノーマルタイプの技がひこうタイプになり、威力が1.2倍になる。
177,スキルリンク,連続技を使うと最高回数まで出せる。
178,すじがねいり,技を引き受ける特性や技の影響を無視する。
179,すてみ,自分もダメージを受ける技の威力が1.2倍になる。
180,スナイパー,急所に当てた時の威力が1.5倍ではなく2.25倍になる。
181,すなおこし,登場したときから5ターンの間、 すなあらし状態 にする。
182,すなかき,すなあらし状態 の時、素早さが2倍になる。 すなあらし状態 のダメージを受けない。
183,すながくれ,すなあらし状態 の時、回避率が1.25倍になる。 すなあらし状態 のダメージを受けない。
184,すなのちから,すなあらし状態 の時、いわ・じめん・はがねタイプの技の威力が1.3倍になる。 すなあらし状態 のダメージを受けない。
185,すなはき,技のダメージを受けた時から5ターンの間、 すなあらし状態 にする。
186,すりぬけ,相手のひかりのかべ・リフレクター・オーロラベール・しんぴのまもり・みがわりを無視して技を使うことができる。
187,するどいめ,相手の回避率の変化を無視し、命中率も下げられない。
188,せいぎのこころ,あくタイプの技のダメージを受けると攻撃が1段階上がる。
189,せいしんりょく,相手の攻撃にひるまずいかくも効かない。
190,せいでんき,接触技を受けると、30%の確率で相手を まひ状態 にする。
191,そうしょく,くさタイプの技が効かず、攻撃が1段階上がる。
192,そうだいしょう,登場した時、その戦闘で倒された手持ちのポケモン1体につき技の威力が10％上がる。最大で50％まで上がる。
193,たいねつ,ほのおタイプの技で受けるダメージが半減する。 やけど状態 で受けるダメージも半減する。
194,だっぴ,ターン終わりに30％の確率で 状態異常 が治る。
195,ちからずく,攻撃の追加効果はなくなるが、1.3倍の威力で技を出すことができる。
196,ちからもち,物理技の威力が2倍になる。
197,ちくでん,でんきタイプの技が効かず最大HPの1/4回復する。
198,ちどりあし,こんらん状態 の時、回避率が2倍になる。
199,ちょすい,みずタイプの技が効かず、最大HPの1/4回復する。
200,テイルアーマー,自分と味方に対し、先制技を使えない。
201,てきおうりょく,自分と同じタイプの技の威力が1.5倍ではなく2倍になる。
202,テクニシャン,威力が60以下の技の威力が1.5倍になる。
203,てつのこぶし,パンチの技の威力が1.2倍になる。
204,テレパシー,味方からの攻撃を回避する。
205,でんきエンジン,でんきタイプの技が効かず、素早さが1段階上がる。
206,でんきにかえる,技のダメージを受けると でんき威力アップ状態 になる。
207,てんきや,天気の影響を受けてみずタイプ・ほのおタイプ・こおりタイプのどれかに変わる。
208,てんねん,相手の能力の変化を無視して攻撃できる。相手の能力の変化を無視して攻撃を受ける。素早さは無視できない。
209,とうそうしん,相手と性別が同じ時技の威力が1.25倍に、違うと0.75倍になる。性別が不明の場合は通常の威力になる。
210,どくげしょう,物理技のダメージを受けると相手の場を どくびし状態 にする。
211,どくしゅ,相手に接触技を当てると30%の確率で どく状態 にする。
212,どくのトゲ,接触技を受けると30%の確率で相手を どく状態 にする。
213,どしょく,じめんタイプの技が効かず、最大HPの1/4回復する。
214,とびだすなかみ,相手に倒されたとき、HPの残りのぶんだけ相手にダメージをあたえる。
215,とびだすハバネロ,技のダメージを受けると相手を やけど状態 にする。
216,ドラゴンスキン,ノーマルタイプの技がドラゴンタイプになり、威力が1.2倍になる。
217,トレース,登場した時相手の特性と同じ特性になる。
218,どんかん,メロメロ状態 ・ ちょうはつ状態 にならず、相手の特性「いかく」も効かない。
219,ぬめぬめ,接触技を受けると相手の素早さを1段階下げる。
220,ねんちゃく,持っている道具を相手に奪われず失わない。
221,ノーガード,お互いの技の命中率が100％になる。
222,ノーてんき,あらゆる天気の影響をなくす。
223,のろわれボディ,技のダメージを受けると、30%の確率で4ターンの間、相手を わざふうじ状態 にする。
224,ハードロック,効果バツグンの技で受けるダメージを3/4にする。
225,ポイズンヒール,どく状態 ・ もうどく状態 になると、ターン終わりにHPが減らずに最大HPの1/8回復する。
226,ぼうおん,音の技が効かない。
227,ぼうじん,すなあらし状態 で受けるダメージが効かない。粉の技、特性も効かない。
228,ぼうだん,弾の技が効かない。
229,ばけのかわ,ばけたすがたの時に技のダメージを受けるとダメージの代わりに最大HPの1/8を消費し、ばれたすがたへと変わる。
230,はっこう,相手の回避率の変化を無視し、命中率も下げられない。
231,はとむね,相手の技や特性で防御を下げられない。
232,バトルスイッチ,攻撃技を出すとブレードフォルムに、技の「キングシールド」を出すとシールドフォルムに変化する。
233,はやあし,状態異常 になると素早さが1.5倍になる。 まひ状態 の素早さが遅くなる効果も無視する。
234,はやおき,ねむり状態 になっても2倍の早さで目覚める。
235,はやてのつばさ,HPが満タンの時、ひこうタイプの技の優先度が1上がる。
236,はらぺこスイッチ,ターン終わりにまんぷくもよう、はらぺこもようと交互に姿を変える。
237,バリアフリー,登場したときに相手の場と味方の場の ひかりのかべ状態 ・ リフレクター状態 ・ オーロラベール状態 を解除する。
238,はりきり,物理技を使用する時自分の攻撃が1.5倍になるが命中率が0.8倍になる。
239,はんすう,きのみを食べた次のターン終わりまた同じきのみを1度だけ食べる。
240,ひでり,登場した時から5ターンの間、 にほんばれ状態 にする。
241,ひとでなし,どく状態 ・ もうどく状態 の相手を攻撃すると必ず急所に当たる。
242,ひらいしん,でんきタイプの技を自分によせつける。その技は効かずに特攻が1段階上がる。
243,びんじょう,相手の能力が上がった時、自分も同じように能力が上がる。
244,ファーコート,物理技で受けるダメージが半減する。
245,フィルター,効果バツグンの技で受けるダメージを3/4にする。
246,フェアリーオーラ,全員のフェアリータイプの技の威力が1.33倍になる。
247,フェアリースキン,自分のノーマルタイプの技がフェアリータイプになり、威力が1.2倍になる。
248,ふかしのこぶし,接触技を使う時、相手の守りの効果を無視して、本来の1/4のダメージを与える。相手の守りの効果以外は発動される。
249,ぶきよう,このポケモンが持っている道具は効果を発揮しない。
250,ふくがん,技の命中率が1.3倍になる。
251,ふくつのこころ,ひるむと素早さが1段階上がる。
252,ふしぎなうろこ,状態異常 の時、防御が1.5倍になる。
253,ふしょく,はがねタイプ・どくタイプの相手も どく状態 ・ もうどく状態 にできる。
254,ふみん,ねむけ状態 ・ ねむり状態 にならない。
255,ふゆう,地面にいないことになり、じめんタイプの技・ まきびし状態 ・ どくびし状態 ・ ねばねばネット状態 が効かない。
256,プラス,プラスかマイナスの特性を持つ味方が場にいると自分の特攻が1.5倍になる。
257,フラワーベール,味方のくさタイプのポケモンは能力が下がらず 状態異常 にもならない。
258,フリーズスキン,ノーマルタイプの技がこおりタイプになり、威力が1.2倍になる。
259,プレッシャー,自分に対し、相手の使う技のPPを1多く減らす。
260,フレンドガード,味方が受けるダメージを3/4にする。
261,へんげんじざい,登場するたび1回だけ自分が出す技と同じタイプに変化する。
262,ヘヴィメタル,自分の重さが2倍になる。
263,ほうし,接触技を受けると、30%の確率で相手を どく状態 ・ まひ状態 ・ ねむり状態 のいずれかにする。
264,ほおぶくろ,きのみを食べた時、その効果に加えて最大HPの1/3回復する。
265,ほのおのからだ,接触技を受けると30%の確率で相手を やけど状態 にする。
266,ほのおのたてがみ,ほのおタイプの技の威力が1.5倍になる。
267,マイティチェンジ,場に出てから手持ちに戻るとマイティフォルムに変化する。
268,マイナス,「プラス」か「マイナス」の特性を持つポケモンが味方にいると自分の特攻が1.5倍になる。
269,マイペース,こんらん状態 にならず、相手の特性「いかく」も効かない。
270,マグマのよろい,こおり状態 にならない。
271,まけんき,相手に能力を下げられると攻撃が2段階上がる。
272,マジシャン,自分が道具を持っていない時技でダメージを与えた相手の道具を奪う。
273,マジックガード,攻撃以外ではダメージが効かない。
274,マジックミラー,相手の変化技を受けずに相手に跳ね返す。
275,マルチスケイル,HPが満タンの時に受けるダメージが半減する。
276,ミイラ,接触技を受けると相手の特性を「ミイラ」にする。
277,ミラーアーマー,自分が受ける能力の下げる効果を受けずに相手に跳ね返す。
278,むしのしらせ,HPが最大HPの1/3以下になるとむしタイプの技の威力が1.5倍になる。
279,ムラっけ,ターン終わりに能力のどれかが2段階上がり、別のどれかが1段階下がる。
280,メガソーラー,天気が にほんばれ状態 でなくても、 にほんばれ状態 として技を使うことができる。
281,メガランチャー,波動の技の威力が1.5倍になる。
282,メロメロボディ,異性から接触技を受けると30%の確率で相手を メロメロ状態 にする。
283,めんえき,どく状態 ・ もうどく状態 にならない。
284,もうか,HPが最大HPの1/3以下になるとほのおタイプの技の威力が1.5倍になる。
285,ものひろい,自分が道具を持っていない時、自分以外のポケモンが消費した道具をターン終わりに拾ってくる。
286,もふもふ,接触技で受けるダメージが半減する。ほのおタイプの技で受けるダメージは2倍になる。
