区分,席次,棋士番号,棋士名,段位,称号,生年月日,四段昇段日,五段昇段日,六段昇段日,七段昇段日,八段昇段日,九段昇段日,引退日,逝去日,四段昇段年齢,四段昇段所要日数
現役,1,307,藤井聡太,,竜王・名人,2002-07-19,2016-10-01,2018-02-01,2018-02-17,2018-05-18,2020-08-20,2021-07-03,,,14歳2ヶ月12日,5188
現役,2,324,伊藤匠,,叡王,2002-10-10,2020-10-01,2022-03-10,2023-04-20,2023-08-14,2025-06-14,,,,17歳11ヶ月21日,6566
現役,3,131,谷川浩司,,十七世名人,1962-04-06,1976-12-20,1979-04-01,1980-04-01,1981-04-01,1982-04-01,1984-04-01,,,14歳8ヶ月14日,5372
現役,4,175,羽生善治,九段,,1970-09-27,1985-12-18,1988-04-01,1989-10-01,1990-10-01,1993-04-01,1994-04-01,,,15歳2ヶ月21日,5561
現役,5,182,佐藤康光,九段,,1969-10-01,1987-03-25,1989-04-01,1992-03-25,1993-10-01,1996-04-01,1998-06-18,,,17歳5ヶ月24日,6384
現役,6,183,森内俊之,九段,,1970-10-10,1987-05-13,1990-06-02,1992-04-01,1994-04-01,1995-04-01,2002-05-17,,,16歳7ヶ月3日,6059
現役,7,235,渡辺明,九段,,1984-04-23,2000-04-01,2003-04-01,2004-10-01,2005-10-01,2005-11-17,2005-11-30,,,15歳11ヶ月9日,5822
現役,8,147,南芳一,九段,,1963-06-08,1981-01-19,1982-04-01,1983-04-01,1985-04-01,1986-04-01,1989-02-22,,,17歳7ヶ月11日,6435
現役,9,142,高橋道雄,九段,,1960-04-23,1980-06-04,1982-04-01,1984-04-01,1986-11-17,1989-04-01,1990-04-01,,,20歳1ヶ月12日,7347
現役,10,194,丸山忠久,九段,,1970-09-05,1990-04-01,1992-04-01,1995-04-01,1997-04-01,1998-04-01,2000-06-28,,,19歳6ヶ月27日,7148
現役,11,198,藤井猛,九段,,1970-09-29,1991-04-01,1994-04-01,1995-04-01,1998-10-01,1999-10-01,2000-10-01,,,20歳6ヶ月3日,7489
現役,12,148,塚田泰明,九段,,1964-11-16,1981-03-05,1983-04-01,1985-04-01,1987-04-01,1988-04-01,2000-12-15,,,16歳3ヶ月17日,5953
現役,13,195,郷田真隆,九段,,1971-03-17,1990-04-01,1992-10-01,1995-11-20,1998-04-01,1999-04-01,2001-08-06,,,19歳0ヶ月15日,6955
現役,14,161,森下卓,九段,,1966-07-10,1983-09-21,1987-01-14,1989-10-03,1992-07-10,1994-04-01,2003-12-12,,,17歳2ヶ月11日,6282
現役,15,189,屋敷伸之,九段,,1972-01-18,1988-10-01,1990-04-01,1991-04-01,1996-03-08,2002-05-13,2004-04-01,,,16歳8ヶ月13日,6101
現役,16,143,中村修,九段,,1962-11-07,1980-07-02,1982-04-01,1983-04-01,1986-04-01,1993-10-15,2008-01-23,,,17歳7ヶ月25日,6447
現役,17,146,島朗,九段,,1963-02-19,1980-09-18,1984-05-10,1986-04-01,1989-04-01,1994-04-01,2008-04-17,,,17歳6ヶ月30日,6421
現役,18,201,深浦康市,九段,,1972-02-14,1991-10-01,1994-08-27,1997-07-22,2001-06-28,2004-04-01,2008-09-26,,,19歳7ヶ月17日,7169
現役,19,207,久保利明,九段,,1975-08-27,1993-04-01,1995-04-01,1998-11-25,2001-04-01,2003-04-01,2010-03-30,,,17歳7ヶ月5日,6427
現役,20,157,井上慶太,九段,,1964-01-17,1983-02-04,1987-03-27,1991-07-12,1996-04-01,1997-04-01,2011-03-03,,,19歳0ヶ月18日,6958
現役,21,204,三浦弘行,九段,,1974-02-13,1992-10-01,1995-04-01,1996-10-01,2000-04-01,2001-04-01,2013-08-16,,,18歳7ヶ月18日,6805
現役,22,185,先崎学,九段,,1970-06-22,1987-10-19,1990-10-08,1994-06-08,1999-04-01,2000-04-01,2014-04-01,,,17歳3ヶ月27日,6328
現役,23,263,佐藤天彦,九段,,1988-01-16,2006-10-01,2009-04-30,2011-04-21,2012-04-19,2015-01-08,2016-05-31,,,18歳8ヶ月15日,6833
現役,24,213,鈴木大介,九段,,1974-07-11,1994-10-01,1997-04-01,1999-10-01,2002-04-01,2003-04-01,2017-03-01,,,20歳2ヶ月20日,7387
現役,25,222,木村一基,九段,,1973-06-23,1997-04-01,1999-04-01,2001-12-17,2003-04-01,2007-04-01,2017-06-26,,,23歳9ヶ月9日,8683
現役,26,264,豊島将之,九段,,1990-04-30,2007-04-01,2009-05-08,2010-11-29,2012-04-19,2017-03-09,2019-05-17,,,16歳11ヶ月2日,6180
現役,27,208,行方尚史,九段,,1973-12-30,1993-10-01,1995-10-01,1999-06-21,2004-04-01,2007-04-01,2019-11-14,,,19歳9ヶ月1日,7215
現役,28,171,阿部隆,九段,,1967-08-25,1985-06-10,1989-08-11,1992-11-16,1997-06-06,2005-02-03,2020-07-15,,,17歳9ヶ月16日,6499
