id,move,type,category,power,accuracy,pp,contact
1001,DDラリアット,,Physical,85,100,12,0
1002,Gのちから,,Special,90,100,12,1
1003,10まんばりき,,Physical,95,95,12,0
1004,10まんボルト,,Special,90,100,16,1
1005,3ぼんのや,,Physical,90,100,12,1
1006,アイアンテール,,Physical,100,75,16,0
1007,アイアンヘッド,,Physical,80,100,16,0
1008,アイアンローラー,,Physical,130,100,8,0
1009,アイススピナー,,Physical,80,100,16,0
1010,アイスハンマー,,Physical,100,90,12,0
1011,アクアカッター,,Physical,70,100,20,1
1012,アクアジェット,,Physical,40,100,20,0
1013,アクアステップ,,Physical,80,100,12,0
1014,アクアテール,,Physical,90,90,12,0
1015,アクアブレイク,,Physical,85,100,12,0
1016,アクアリング,,Status,xx,xx,20,1
1017,アクセルロック,,Physical,40,100,20,0
1018,あくのはどう,,Special,80,100,16,1
1019,あくび,,Status,xx,xx,12,1
1020,アクロバット,,Physical,55,100,16,0
1021,あさのひざし,,Status,xx,xx,8,1
1022,アシストパワー,,Special,20,100,12,1
1023,アシッドボム,,Special,40,100,20,1
1024,あなをほる,,Physical,80,100,12,0
1025,あばれる,,Physical,120,100,12,0
1026,あまいかおり,,Status,xx,100,20,1
1027,あまえる,,Status,xx,100,20,1
1028,あまごい,,Status,xx,xx,8,1
1029,あやしいひかり,,Status,xx,100,12,1
1030,アロマミスト,,Status,xx,xx,20,1
1031,アンコール,,Status,xx,100,8,1
1032,アーマーキャノン,,Special,120,100,8,1
1033,アームハンマー,,Physical,100,90,12,0
1034,いえき,,Status,xx,100,12,1
1035,イカサマ,,Physical,95,100,16,0
1036,いかりのこな,,Status,xx,xx,20,1
1037,いかりのまえば,,Physical,xx,90,12,0
1038,いたみわけ,,Status,xx,xx,20,1
1039,いちゃもん,,Status,xx,100,16,1
1040,いとをはく,,Status,xx,95,20,1
1041,いのちがけ,,Special,xx,100,8,1
1042,いのちのしずく,,Status,xx,xx,12,1
1043,いばる,,Status,xx,85,16,1
1044,いびき,,Special,50,100,16,1
1045,いやしのすず,,Status,xx,xx,8,1
1046,いやしのねがい,,Status,xx,xx,12,1
1047,いやしのはどう,,Status,xx,xx,12,1
1048,いやなおと,,Status,xx,85,20,1
1049,いわなだれ,,Physical,75,90,12,1
1050,インファイト,,Physical,120,100,8,0
1051,ウェザーボール,,Special,50,100,12,1
1052,ウェーブタックル,,Physical,120,100,12,0
1053,うずしお,,Special,35,85,16,1
1054,うそなき,,Status,xx,100,20,1
1055,うたう,,Status,xx,55,16,1
1056,うたかたのアリア,,Special,90,100,12,1
1057,うちおとす,,Physical,50,100,16,1
1058,ウッドハンマー,,Physical,120,100,16,0
1059,ウッドホーン,,Physical,75,100,10,0
1060,うっぷんばらし,,Physical,75,100,8,1
1061,うらみ,,Status,xx,100,12,1
1062,うらみつらみ,,Physical,75,100,12,1
1063,エアカッター,,Special,60,95,20,1
1064,エアスラッシュ,,Special,75,95,16,1
1065,エナジーボール,05,Special,90,100,12,1
1066,エレキネット,,Special,55,95,16,1
1067,エレキフィールド,,Status,xx,xx,12,1
1068,エレキボール,,Special,xx,100,12,1
1069,エレクトロビーム,,Special,130,100,12,1
1070,おいかぜ,,Status,xx,xx,16,1
1071,おかたづけ,,Status,xx,xx,12,1
1072,おきみやげ,,Status,xx,100,12,1
1073,おさきにどうぞ,,Status,xx,xx,16,1
1074,おたけび,,Status,xx,100,20,1
1075,おだてる,,Status,xx,100,16,1
1076,おちゃかい,,Status,xx,xx,12,1
1077,おにび,,Status,xx,85,16,1
1078,おはかまいり,,Physical,50,100,12,1
1079,オーバードライブ,,Special,80,100,12,1
1080,オーバーヒート,,Special,130,90,8,1
1081,オーラぐるま,,Physical,110,100,12,1
1082,オーロラベール,,Status,xx,xx,20,1
1083,かいでんぱ,,Status,xx,100,16,1
1084,カウンター,,Physical,xx,100,20,0
1085,かえんほうしゃ,02,Special,90,100,16,1
1086,かえんボール,,Special,120,90,8,1
1087,かかとおとし,,Physical,120,90,12,0
1088,かげうち,,Physical,40,100,20,0
1089,かげぬい,,Physical,90,100,12,1
1090,かげぶんしん,,Status,xx,xx,16,1
1091,かなしばり,,Status,xx,100,20,1
1092,かふんだんご,,Special,90,100,16,1
1093,かみくだく,,Physical,80,100,16,0
1094,かみつく,,Physical,60,100,20,0
1095,かみなり,,Special,110,70,12,1
1096,かみなりのキバ,,Physical,65,95,16,0
1097,かみなりパンチ,,Physical,75,100,16,0
1098,がむしゃら,,Physical,xx,100,8,0
1099,からげんき,,Physical,70,100,20,0
1100,からをやぶる,,Status,xx,xx,16,1
1101,かわらわり,,Physical,75,100,16,0
1102,がんせきアックス,,Physical,65,90,16,0
1103,がんせきふうじ,,Physical,60,95,16,1
1104,がんせきほう,,Physical,150,90,8,1
1105,ガードシェア,,Status,xx,xx,12,1
1106,ガードスワップ,,Status,xx,xx,12,1
1107,きあいだま,,Special,120,70,8,1
1108,きあいだめ,,Status,xx,xx,20,1
1109,きあいパンチ,,Physical,150,100,20,0
1110,ギアチェンジ,,Status,xx,xx,12,1
1111,ギガインパクト,,Physical,150,90,8,0
1112,ギガドレイン,,Special,75,100,12,1
1113,きしかいせい,,Physical,xx,100,16,0
1114,きまぐレーザー,,Special,80,100,8,1
1115,きゅうけつ,,Physical,80,100,12,0
1116,きょけんとつげき,,Physical,120,100,8,0
1117,キラースピン,,Physical,30,100,16,0
1118,きりさく,,Physical,80,100,20,0
1119,きりばらい,,Status,xx,xx,16,1
1120,キングシールド,,Status,xx,xx,8,1
1121,きんぞくおん,,Special,xx,85,20,1
1122,クイックターン,,Physical,60,100,20,0
1123,くさむすび,,Special,xx,100,20,0
1124,くさわけ,,Physical,50,100,20,0
1125,くすぐる,,Status,xx,100,20,1
1126,くちばしキャノン,,Physical,120,100,8,1
1127,くらいつく,,Physical,80,100,12,0
1128,グラススライダー,,Physical,55,100,20,0
1129,グラスフィールド,,Status,xx,xx,12,1
