number,name,type_1,type_2,H,A,B,C,D,S,ability_1,ability_2,ability_3,weight
0003,フシギバナ,05,08,80,82,83,100,100,80,172,293,,100.0
0003,メガフシギバナ,05,08,80,100,123,122,120,80,103,,,155.5
0006,リザードン,02,10,78,84,78,109,85,100,284,160,,90.5
0006,メガリザードンX,02,15,78,130,111,130,85,100,128,,,110.5
0006,メガリザードンY,02,10,78,104,78,159,115,100,240,,,100.5
0009,カメックス,03,00,79,83,100,85,105,78,154,107,,85.5
0009,メガカメックス,03,00,79,103,120,135,115,78,281,,,101.1
0015,スピアー,12,08,65,90,40,45,80,75,278,180,,29.5
0015,メガスピアー,12,08,65,150,40,15,80,145,201,,,40.5
0018,ピジョット,01,10,83,80,75,70,70,101,187,198,231,39.5
0018,メガピジョット,01,10,83,80,80,135,80,121,221,,,50.5
0024,アーボック,08,00,60,95,69,65,79,80,110,194,149,65.0
0025,ピカチュウ,04,00,35,55,40,50,50,90,190,242,,6.0
0026,ライチュウ,04,00,60,90,55,90,80,110,190,242,,30.0
0026,アローラライチュウ,04,11,60,85,50,95,85,110,156,,,21.0
0026,メガライチュウX,04,00,60,135,95,90,95,110,119,,,38.0
0026,メガライチュウY,04,00,60,100,55,160,80,130,221,,,26.0
0036,ピクシー,18,00,95,70,73,95,90,60,282,273,208,40.0
0036,メガピクシー,18,10,95,80,93,135,110,70,274,,,42.3
0038,キュウコン,02,00,73,76,75,81,100,100,287,240,,19.9
0038,アローラキュウコン,06,18,73,67,75,81,100,109,291,292,,19.9
0040,プクリン,01,18,140,70,45,85,50,45,282,130,122,12.0
0045,ラフレシア,05,08,75,80,85,110,90,50,293,263,,18.6
0053,ペルシアン,01,00,65,70,60,65,65,115,167,202,149,32.0
0053,アローラペルシアン,16,00,65,60,60,75,65,115,244,202,313,33.0
0059,ウインディ,02,00,90,110,80,100,80,95,110,287,188,155.0
0059,ヒスイウインディ,02,13,95,115,80,95,80,90,110,287,112,168.0
0065,フーディン,11,00,55,50,45,135,95,120,171,189,273,48.0
0065,メガフーディン,11,00,55,50,65,175,105,150,217,,,48.0
0068,カイリキー,07,00,90,130,80,65,85,55,155,221,251,130.0
0071,ウツボット,05,08,80,105,65,100,70,70,293,150,,15.5
0071,メガウツボット,05,08,80,125,85,135,95,70,214,,,125.5
0080,ヤドラン,03,11,95,75,110,100,80,30,218,269,157,78.5
0080,メガヤドラン,03,11,95,75,180,130,80,30,161,,,120.0
0080,ガラルヤドラン,08,11,95,100,95,100,70,30,151,269,157,70.5
0083,カモネギ,01,10,52,90,55,58,62,60,187,189,271,15.0
0094,ゲンガー,14,08,60,65,60,130,75,110,223,,,40.5
0094,メガゲンガー,14,08,60,65,80,170,95,130,126,,,40.5
0115,ガルーラ,01,00,105,95,80,40,80,90,234,142,189,80.0
0115,メガガルーラ,01,00,105,125,100,60,100,100,124,,,100.0
