西暦,順位,棋士名,段位・称号,金額,賞金・対局料,生年月日,各年最終日,年齢
2024,1,藤井聡太,竜王・名人,"17,556","1億7,556万円",2002-07-19,2024-12-31,22
2024,2,伊藤匠,叡王,"4,364","4,364万円",2002-10-10,2024-12-31,22
2024,3,永瀬拓矢,九段,"3,026","3,026万円",1992-09-05,2024-12-31,32
2024,4,佐々木勇気,八段,"2,900","2,900万円",1994-08-05,2024-12-31,30
2024,5,渡辺明,九段,"2,594","2,594万円",1984-04-23,2024-12-31,40
2024,6,広瀬章人,九段,"2,461","2,461万円",1987-01-18,2024-12-31,37
2024,7,豊島将之,九段,"2,348","2,348万円",1990-04-30,2024-12-31,34
2024,8,山崎隆之,八段,"2,124","2,124万円",1981-02-14,2024-12-31,43
2024,9,菅井竜也,八段,"1,648","1,648万円",1992-04-17,2024-12-31,32
2024,10,羽生善治,九段,"1,622","1,622万円",1970-09-27,2024-12-31,54
2023,1,藤井聡太,竜王・名人,"18,634","1億8,634万円",2002-07-19,2023-12-31,21
2023,2,渡辺明,九段,"4,562","4,562万円",1984-04-23,2023-12-31,39
2023,3,永瀬拓矢,九段,"3,509","3,509万円",1992-09-05,2023-12-31,31
2023,4,広瀬章人,九段,"3,066","3,066万円",1987-01-18,2023-12-31,36
2023,5,羽生善治,九段,"2,604","2,604万円",1970-09-27,2023-12-31,53
2023,6,豊島将之,九段,"2,223","2,223万円",1990-04-30,2023-12-31,33
2023,7,菅井竜也,八段,"1,959","1,959万円",1992-04-17,2023-12-31,31
2023,8,佐々木大地,七段,"1,881","1,881万円",1995-05-30,2023-12-31,28
2023,9,稲葉陽,八段,"1,781","1,781万円",1988-08-08,2023-12-31,35
2023,10,伊藤匠,七段,"1,728","1,728万円",2002-10-10,2023-12-31,21
2022,1,藤井聡太,竜王,"12,205","1億2,205万円",2002-07-19,2022-12-31,20
2022,2,渡辺明,名人,"7,063","7,063万円",1984-04-23,2022-12-31,38
2022,3,豊島将之,九段,"5,071","5,071万円",1990-04-30,2022-12-31,32
2022,4,永瀬拓矢,王座,"4,668","4,668万円",1992-09-05,2022-12-31,30
2022,5,斎藤慎太郎,八段,"2,362","2,362万円",1993-04-21,2022-12-31,29
2022,6,広瀬章人,八段,"2,166","2,166万円",1987-01-18,2022-12-31,35
2022,7,菅井竜也,八段,"1,970","1,970万円",1992-04-17,2022-12-31,30
2022,8,佐藤天彦,九段,"1,819","1,819万円",1988-01-16,2022-12-31,34
2022,9,山崎隆之,八段,"1,770","1,770万円",1981-02-14,2022-12-31,41
2022,10,稲葉陽,八段,"1,580","1,580万円",1988-08-08,2022-12-31,34
2021,1,渡辺明,名人,"8,194","8,194万円",1984-04-23,2021-12-31,37
2021,2,豊島将之,九段,"8,145","8,145万円",1990-04-30,2021-12-31,31
2021,3,藤井聡太,竜王,"6,996","6,996万円",2002-07-19,2021-12-31,19
2021,4,永瀬拓矢,王座,"4,821","4,821万円",1992-09-05,2021-12-31,29
2021,5,羽生善治,九段,"3,236","3,236万円",1970-09-27,2021-12-31,51
2021,6,斎藤慎太郎,八段,"2,567","2,567万円",1993-04-21,2021-12-31,28
2021,7,木村一基,九段,"2,245","2,245万円",1973-06-23,2021-12-31,48
2021,8,糸谷哲郎,八段,"1,876","1,876万円",1988-10-05,2021-12-31,33
2021,9,稲葉陽,八段,"1,703","1,703万円",1988-08-08,2021-12-31,33
2021,10,菅井竜也,八段,"1,674","1,674万円",1992-04-17,2021-12-31,29
2021,12,山崎隆之,八段,"1,498","1,498万円",1981-02-14,2021-12-31,40
