年度,棋士名,段位,年齢,勝率,局,勝,敗,持,生年月日,年度最終日,日数換算
1967,中原誠,五段,20,0.8545,55,47,8,,1947-09-02,1968-03-31,7516
2023,藤井聡太,八冠,21,0.8519,55,46,8,1,2002-07-19,2024-03-31,7926
2011,中村太地,五段,23,0.8511,47,40,7,,1988-06-01,2012-03-31,8704
2023,藤本渚,五段,18,0.8500,60,51,9,,2005-07-18,2024-03-31,6831
2018,藤井聡太,七段,16,0.8491,53,45,8,,2002-07-19,2019-03-31,6099
2020,藤井聡太,二冠,18,0.8462,52,44,8,,2002-07-19,2021-03-31,6830
2024,服部慎一郎,七段,25,0.8431,51,43,8,,1999-08-02,2025-03-31,9373
1995,羽生善治,七冠,25,0.8364,55,46,9,,1970-09-27,1996-03-31,9317
2001,木村一基,六段,28,0.8356,73,61,12,,1973-06-23,2002-03-31,10508
2017,藤井聡太,六段,15,0.8356,73,61,12,,2002-07-19,2018-03-31,5734
2022,藤井聡太,六冠,20,0.8281,64,53,11,,2002-07-19,2023-03-31,7560
1968,桐山清澄,四段,21,0.8261,46,38,8,,1947-10-07,1969-03-31,7846
2004,近藤正和,五段,33,0.8222,45,37,8,,1971-05-31,2005-03-31,12358
1966,中原誠,四段,19,0.8205,39,32,7,,1947-09-02,1967-03-31,7150
1987,羽生善治,四段,17,0.8197,61,50,11,,1970-09-27,1988-03-31,6395
2021,伊藤匠,五段,19,0.8182,55,45,10,,2002-10-10,2022-03-31,7112
1966,大内延介,六段,25,0.8182,33,27,6,,1941-10-02,1967-03-31,9311
2019,藤井聡太,七段,17,0.8154,65,53,12,,2002-07-19,2020-03-31,6465
2021,藤井聡太,五冠,19,0.8125,64,52,12,,2002-07-19,2022-03-31,7195
2022,斎藤明日斗,五段,24,0.8125,48,39,9,,1998-07-17,2023-03-31,9023
1994,久保利明,四段,19,0.8095,42,34,8,,1975-08-27,1995-03-31,7156
1960,芹沢博文,七段,24,0.8065,31,25,6,,1936-10-23,1961-03-31,8925
1988,羽生善治,五段,18,0.8000,80,64,16,,1970-09-27,1989-03-31,6760
1994,深浦康市,五段,23,0.8000,55,44,11,,1972-02-14,1995-03-31,8446
2018,渡辺明,二冠,34,0.8000,50,40,10,,1984-04-23,2019-03-31,12760
2018,永瀬拓矢,七段,26,0.8000,45,36,9,,1992-09-05,2019-03-31,9703
