game_date,match,period,A,player_A,a,b,player_B,B,phase,detail,notes,broadcast_date
2027-03-xx,棋王戦,52,,藤井聡太,,,未定,,五番勝負,第5局,,なし
2027-03-xx,棋王戦,52,,藤井聡太,,,未定,,五番勝負,第4局,,なし
2027-03-xx,棋王戦,52,,藤井聡太,,,未定,,五番勝負,第3局,,なし
2027-02-xx,棋王戦,52,,藤井聡太,,,未定,,五番勝負,第2局,,なし
2027-02-xx,棋王戦,52,,藤井聡太,,,未定,,五番勝負,第1局,,なし
2027-03-xx,王将戦,76,,藤井聡太,,,未定,,七番勝負,第7局,,なし
2027-03-xx,王将戦,76,,藤井聡太,,,未定,,七番勝負,第6局,,なし
2027-02-xx,王将戦,76,,藤井聡太,,,未定,,七番勝負,第5局,,なし
2027-02-xx,王将戦,76,,藤井聡太,,,未定,,七番勝負,第4局,,なし
2027-02-xx,王将戦,76,,藤井聡太,,,未定,,七番勝負,第3局,,なし
2027-01-xx,王将戦,76,,藤井聡太,,,未定,,七番勝負,第2局,,なし
2027-01-xx,王将戦,76,,藤井聡太,,,未定,,七番勝負,第1局,,なし
2026-10-xx,王座戦,74,,伊藤匠,,,未定,,五番勝負,第5局,,なし
2026-10-xx,王座戦,74,,伊藤匠,,,未定,,五番勝負,第4局,,なし
2026-10-xx,王座戦,74,,伊藤匠,,,未定,,五番勝負,第3局,,なし
2026-09-xx,王座戦,74,,伊藤匠,,,未定,,五番勝負,第2局,,なし
2026-09-xx,王座戦,74,,伊藤匠,,,未定,,五番勝負,第1局,,なし
2026-12-17,竜王戦,39,,藤井聡太,,,未定,,七番勝負,第7局,,なし
2026-12-10,竜王戦,39,,藤井聡太,,,未定,,七番勝負,第6局,,なし
2026-12-03,竜王戦,39,,藤井聡太,,,未定,,七番勝負,第5局,,なし
2026-11-21,竜王戦,39,,藤井聡太,,,未定,,七番勝負,第4局,,なし
2026-11-04,竜王戦,39,,藤井聡太,,,未定,,七番勝負,第3局,,なし
2026-10-23,竜王戦,39,,藤井聡太,,,未定,,七番勝負,第2局,,なし
2026-10-10,竜王戦,39,,藤井聡太,,,未定,,七番勝負,第1局,,なし
2026-09-29,王位戦,67,,藤井聡太,,,伊藤匠,,七番勝負,第7局,,なし
2026-09-09,王位戦,67,,藤井聡太,,,伊藤匠,,七番勝負,第6局,,なし
2026-08-27,王位戦,67,,藤井聡太,,,伊藤匠,,七番勝負,第5局,,なし
2026-08-19,王位戦,67,,藤井聡太,,,伊藤匠,,七番勝負,第4局,,なし
2026-07-30,王位戦,67,,藤井聡太,,,伊藤匠,,七番勝負,第3局,,なし
2026-07-16,王位戦,67,,藤井聡太,,,伊藤匠,,七番勝負,第2局,,なし
2026-07-05,王位戦,67,,藤井聡太,,,伊藤匠,,七番勝負,第1局,,なし
2026-07-22,棋聖戦,97,,藤井聡太,,,服部慎一郎,,五番勝負,第5局,,なし
2026-07-08,棋聖戦,97,,藤井聡太,,,服部慎一郎,,五番勝負,第4局,,なし
2026-07-01,棋聖戦,97,,藤井聡太,,,服部慎一郎,,五番勝負,第3局,,なし
2026-06-19,棋聖戦,97,,藤井聡太,,,服部慎一郎,,五番勝負,第2局,,なし
2026-06-04,棋聖戦,97,▲,藤井聡太,○,●,服部慎一郎,△,五番勝負,第1局,,なし
2026-05-17,名人戦,84,▲,藤井聡太,○,●,糸谷哲郎,△,七番勝負,第4局,,なし
2026-05-08,名人戦,84,△,藤井聡太,○,●,糸谷哲郎,▲,七番勝負,第3局,,なし
2026-04-26,名人戦,84,▲,藤井聡太,○,●,糸谷哲郎,△,七番勝負,第2局,,なし
2026-04-09,名人戦,84,△,藤井聡太,○,●,糸谷哲郎,▲,七番勝負,第1局,,なし
2026-03-26,王将戦,75,▲,藤井聡太,○,●,永瀬拓矢,△,七番勝負,第7局,,なし
2026-03-19,王将戦,75,▲,藤井聡太,○,●,永瀬拓矢,△,七番勝負,第6局,,なし
