AttackType,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18
01,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,1,0.5,1
02,1,0.5,0.5,1,2,2,1,1,1,1,1,2,0.5,1,0.5,1,2,1
03,1,2,0.5,1,0.5,1,1,1,2,1,1,1,2,1,0.5,1,1,1
04,1,1,2,0.5,0.5,1,1,1,0,2,1,1,1,1,0.5,1,1,1
05,1,0.5,2,1,0.5,1,1,0.5,2,0.5,1,0.5,2,1,0.5,1,0.5,1
06,1,0.5,0.5,1,2,0.5,1,1,2,2,1,1,1,1,2,1,0.5,1
07,2,1,1,1,1,2,1,0.5,1,0.5,0.5,0.5,2,0,1,2,2,0.5
08,1,1,1,1,2,1,1,0.5,0.5,1,1,1,0.5,0.5,1,1,0,2
09,1,2,1,2,0.5,1,1,2,1,0,1,0.5,2,1,1,1,2,1
10,1,1,1,0.5,2,1,2,1,1,1,1,2,0.5,1,1,1,0.5,1
11,1,1,1,1,1,1,2,2,1,1,0.5,1,1,1,1,0,0.5,1
12,1,0.5,1,1,2,1,0.5,0.5,1,0.5,2,1,1,0.5,1,2,0.5,0.5
13,1,2,1,1,1,2,0.5,1,0.5,2,1,2,1,1,1,1,0.5,1
14,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0.5,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,0
16,1,1,1,1,1,1,0.5,1,1,1,2,1,1,2,1,0.5,1,0.5
17,1,0.5,0.5,0.5,1,2,1,1,1,1,1,1,2,1,1,1,0.5,2
18,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,2,2,0.5,1
